V,V2
-69.4737,-69.4694
-69.4705,-69.4662
-69.4673,-69.463
-69.4642,-69.4598
-69.461,-69.4566
-69.4578,-69.4534
-69.4546,-69.4502
-69.4514,-69.447
-69.4482,-69.4437
-69.445,-69.4405
-69.4418,-69.4373
-69.4386,-69.4341
-69.4354,-69.4308
-69.4322,-69.4276
-69.4289,-69.4244
-69.4257,-69.4212
-69.4225,-69.4179
-69.4193,-69.4147
-69.4161,-69.4115
-69.4129,-69.4082
-69.4096,-69.405
-69.4064,-69.4017
-69.4032,-69.3985
-69.4,-69.3953
-69.3967,-69.392
-69.3935,-69.3888
-69.3903,-69.3855
-69.3871,-69.3823
-69.3838,-69.3791
-69.3806,-69.3758
-69.3774,-69.3726
-69.3741,-69.3693
-69.3709,-69.3661
-69.3677,-69.3628
-69.3645,-69.3596
-69.3612,-69.3563
-69.358,-69.3531
-69.3548,-69.3498
-69.3515,-69.3466
-69.3483,-69.3433
-69.3451,-69.3401
-69.3419,-69.3369
-69.3386,-69.3336
-69.3354,-69.3304
-69.3322,-69.3271
-69.329,-69.3239
-69.3257,-69.3207
-69.3225,-69.3174
-69.3193,-69.3142
-69.3161,-69.3109
-69.3129,-69.3077
-69.3097,-69.3045
-69.3064,-69.3012
-69.3032,-69.298
-69.3,-69.2948
-69.2968,-69.2916
-69.2936,-69.2883
-69.2904,-69.2851
-69.2872,-69.2819
-69.284,-69.2787
-69.2808,-69.2755
-69.2776,-69.2723
-69.2744,-69.2691
-69.2712,-69.2659
-69.2681,-69.2627
-69.2649,-69.2595
-69.2617,-69.2563
-69.2585,-69.2531
-69.2553,-69.2499
-69.2522,-69.2467
-69.249,-69.2435
-69.2458,-69.2403
-69.2427,-69.2371
-69.2395,-69.234
-69.2364,-69.2308
-69.2332,-69.2276
-69.2301,-69.2245
-69.227,-69.2213
-69.2238,-69.2182
-69.2207,-69.215
-69.2176,-69.2119
-69.2144,-69.2087
-69.2113,-69.2056
-69.2082,-69.2025
-69.2051,-69.1994
-69.202,-69.1962
-69.1989,-69.1931
-69.1958,-69.19
-69.1927,-69.1869
-69.1897,-69.1838
-69.1866,-69.1807
-69.1835,-69.1776
-69.1804,-69.1746
-69.1774,-69.1715
-69.1743,-69.1684
-69.1713,-69.1653
-69.1683,-69.1623
-69.1652,-69.1592
-69.1622,-69.1562
-69.1592,-69.1532
-69.1562,-69.1501
-69.1532,-69.1471
-69.1501,-69.1441
-69.1472,-69.1411
-69.1442,-69.1381
-69.1412,-69.1351
-69.1382,-69.1321
-69.1353,-69.1291
-69.1323,-69.1261
-69.1293,-69.1232
-69.1264,-69.1202
-69.1235,-69.1172
-69.1205,-69.1143
-69.1176,-69.1114
-69.1147,-69.1084
-69.1118,-69.1055
-69.1089,-69.1026
-69.106,-69.0997
-69.1032,-69.0968
-69.1003,-69.0939
-69.0974,-69.091
-69.0946,-69.0882
-69.0917,-69.0853
-69.0889,-69.0825
-69.0861,-69.0796
-69.0833,-69.0768
-69.0805,-69.074
-69.0777,-69.0712
-69.0749,-69.0684
-69.0721,-69.0656
-69.0694,-69.0628
-69.0666,-69.06
-69.0639,-69.0573
-69.0611,-69.0545
-69.0584,-69.0518
-69.0557,-69.049
-69.053,-69.0463
-69.0503,-69.0436
-69.0476,-69.0409
-69.0449,-69.0382
-69.0423,-69.0355
-69.0396,-69.0329
-69.037,-69.0302
-69.0344,-69.0276
-69.0318,-69.0249
-69.0292,-69.0223
-69.0266,-69.0197
-69.024,-69.0171
-69.0214,-69.0145
-69.0189,-69.012
-69.0163,-69.0094
-69.0138,-69.0068
-69.0113,-69.0043
-69.0088,-69.0018
-69.0063,-68.9993
-69.0038,-68.9968
-69.0013,-68.9943
-68.9989,-68.9918
-68.9964,-68.9894
-68.994,-68.9869
-68.9916,-68.9845
-68.9892,-68.9821
-68.9868,-68.9797
-68.9844,-68.9773
-68.9821,-68.9749
-68.9797,-68.9725
-68.9774,-68.9702
-68.9751,-68.9679
-68.9728,-68.9655
-68.9705,-68.9632
-68.9682,-68.961
-68.966,-68.9587
-68.9637,-68.9564
-68.9615,-68.9542
-68.9593,-68.9519
-68.9571,-68.9497
-68.9549,-68.9475
-68.9528,-68.9453
-68.9506,-68.9432
-68.9485,-68.941
-68.9463,-68.9389
-68.9442,-68.9368
-68.9422,-68.9347
-68.9401,-68.9326
-68.938,-68.9305
-68.936,-68.9284
-68.934,-68.9264
-68.932,-68.9244
-68.93,-68.9224
-68.928,-68.9204
-68.926,-68.9184
-68.9241,-68.9165
-68.9222,-68.9145
-68.9203,-68.9126
-68.9184,-68.9107
-68.9165,-68.9088
-68.9147,-68.907
-68.9129,-68.9051
-68.911,-68.9033
-68.9092,-68.9015
-68.9075,-68.8997
-68.9057,-68.8979
-68.904,-68.8961
-68.9022,-68.8944
-68.9005,-68.8927
-68.8989,-68.891
-68.8972,-68.8893
-68.8956,-68.8876
-68.8939,-68.886
-68.8923,-68.8844
-68.8907,-68.8828
-68.8892,-68.8812
-68.8876,-68.8796
-68.8861,-68.8781
-68.8846,-68.8765
-68.8831,-68.875
-68.8816,-68.8736
-68.8802,-68.8721
-68.8788,-68.8707
-68.8773,-68.8692
-68.876,-68.8678
-68.8746,-68.8665
-68.8733,-68.8651
-68.8719,-68.8638
-68.8706,-68.8624
-68.8694,-68.8611
-68.8681,-68.8599
-68.8669,-68.8586
-68.8656,-68.8574
-68.8645,-68.8562
-68.8633,-68.855
-68.8621,-68.8538
-68.861,-68.8527
-68.8599,-68.8516
-68.8588,-68.8505
-68.8578,-68.8494
-68.8567,-68.8484
-68.8557,-68.8473
-68.8547,-68.8463
-68.8538,-68.8454
-68.8528,-68.8444
-68.8519,-68.8435
-68.851,-68.8425
-68.8501,-68.8417
-68.8493,-68.8408
-68.8485,-68.84
-68.8477,-68.8391
-68.8469,-68.8384
-68.8461,-68.8376
